Mass,dTeffdM,dTeffdM_lb,dTeffdM_ub
0.32500000000000007,1.3721606440406973,0.7955674745618202,2.0112478723548586
0.32600000000000007,1.3958246693315022,0.8153093104227656,2.0384664688916385
0.32670376805998674,1.412268894766564,0.8339284566405011,2.0585524860653353
0.32700000000000007,1.4172552176583553,0.8393008625850924,2.0649212761685276
0.32800000000000007,1.4408464638139524,0.859040796655758,2.0910605218987786
0.32900000000000007,1.4646794101554155,0.8791218681295614,2.118212824917247
0.33000000000000007,1.4828427850908117,0.8971012222303846,2.141890523112928
0.33100000000000007,1.5003086596851152,0.9179239943099788,2.1689781849942777
0.3320000000000001,1.5205162698297037,0.9359491356195103,2.191238025802426
0.3330000000000001,1.5419057462669146,0.9546758999280918,2.215292160755699
0.3340000000000001,1.5633896327482768,0.975797758758287,2.237898460373951
0.3350000000000001,1.5797439408680962,0.9892055900836492,2.255037818893983
0.3360000000000001,1.5996649803244654,1.0097503782629962,2.276005529157897
0.3360275057092562,1.5997591833730425,1.0102880201876259,2.2783778895268294
0.3370000000000001,1.622063270031307,1.0280524949845016,2.294788748237188
0.3380000000000001,1.639936093121847,1.0478981844336026,2.3151280298294066
0.3390000000000001,1.6571205802194076,1.0672881795387243,2.329128003581409
0.3400000000000001,1.6750908607755874,1.0854629279578236,2.344670730195122
0.3410000000000001,1.6914008591326095,1.1004656108367856,2.362361258896656
0.3420000000000001,1.7040858971954365,1.1155965878873677,2.379324877122103
0.3430000000000001,1.7180840175757035,1.1295681583820119,2.3971292680942913
0.3440000000000001,1.7311558915982521,1.1417999090045439,2.410939313275713
0.3450000000000001,1.7458544958729776,1.1574115696188167,2.4208118098683626
0.3459180882588884,1.7588147227466866,1.1671462026521913,2.4347438336495713
0.3460000000000001,1.7596530342949694,1.16984747328366,2.436223329388814
0.3470000000000001,1.7724268505492446,1.1810555162418814,2.4461781597102092
0.3480000000000001,1.7822107804789689,1.1927760145731687,2.4582283625578563
0.3490000000000001,1.7914613432026305,1.204269986560198,2.468480940805685
0.3500000000000001,1.7988746565205576,1.2171777923904967,2.476072818595354
0.3510000000000001,1.8080659813141828,1.2282831867269717,2.4878363910833476
0.3520000000000001,1.8142099775687606,1.238974594301302,2.4882399830178636
0.35270937664471524,1.8191233246624137,1.2442230857319299,2.4877134269336576
0.3530000000000001,1.8218348063988812,1.2454199312393248,2.4951330854697185
0.3540000000000001,1.8285852771308255,1.2556926521053229,2.4960864244204513
0.3550000000000001,1.8297207751957327,1.261937324767568,2.49534634712165
0.3553068390981111,1.8326347278939266,1.2634296168661083,2.499942702418609
0.3560000000000001,1.8382082971749114,1.2682408895326875,2.4998034533946933
0.3570000000000001,1.8406430196311034,1.2759783322577543,2.496963696366908
0.3580000000000001,1.8437889247115216,1.2817318428400908,2.4926687027765704
0.3590000000000001,1.8473041057831452,1.2799114546218857,2.4892105247531813
0.3600000000000001,1.8474480281286607,1.27812467615002,2.484360442382623
0.3610000000000001,1.8490811775683487,1.2809313742213184,2.4794899319674832
0.3620000000000001,1.8508729282714125,1.287464618532306,2.4765771658298794
0.3630000000000001,1.8486899822845684,1.2826028932700946,2.4692584483138726
0.3640000000000001,1.846232516186964,1.2821771159320945,2.4608776848689824
0.3650000000000001,1.838403594517933,1.279956150675649,2.452540304153302
0.3660000000000001,1.8318129998391792,1.2748149878937922,2.443891147559846
0.3670000000000001,1.827761171143471,1.2673132000009888,2.4339765699305196
0.3680000000000001,1.8235274133466057,1.2604819528433098,2.421722616090115
0.36900000000000005,1.8142268028897381,1.254990880822116,2.407918565841619
0.37000000000000005,1.8062270789473902,1.2494631887817178,2.3952089421625273
0.37100000000000005,1.7984167970783784,1.2401276644185055,2.3832698313795246
0.37200000000000005,1.7880937923267055,1.229630261321068,2.373553717112182
0.37300000000000005,1.7783630344262416,1.2154139598217775,2.366465943213001
0.37400000000000005,1.7629868519063494,1.1957062446867914,2.3498102277650528
0.37500000000000006,1.7498532847697799,1.1860474548693707,2.3378960799181305
0.37600000000000006,1.738485159045106,1.166214539856491,2.3239399089372257
0.37700000000000006,1.7253604853446645,1.152930409064329,2.307904025266307
0.37800000000000006,1.7133694535358275,1.1298773405062936,2.2947085764246493
0.37900000000000006,1.6989627384503716,1.1120309525745662,2.280208305688932
0.38000000000000006,1.6841054057188845,1.0925779709211505,2.263367947110365
0.38100000000000006,1.670068580579295,1.0737304817571625,2.2527402129092793
0.38200000000000006,1.6537074273617711,1.0543856548809147,2.2394926874293715
0.38300000000000006,1.6391523069468592,1.038516115459848,2.2229788694930743
0.38400000000000006,1.625245375099424,1.0145721260486646,2.206814043213049
0.38500000000000006,1.6117405079094158,0.98776688291488,2.1906171815755067
0.38600000000000007,1.5983126615100103,0.9663710704650023,2.174053235482171
0.38700000000000007,1.5814886349173176,0.9462859910125524,2.159647679115664
0.38800000000000007,1.5669605443988486,0.9209328564494433,2.14623424711898
0.3889236042162152,1.550876470209512,0.9048650930385158,2.1319413155392053
0.38900000000000007,1.5515917520445148,0.9026798173190023,2.1290099263108107
0.39000000000000007,1.5323330586397128,0.8840376639945567,2.116409112473902
0.39100000000000007,1.5181578936888547,0.8557363366683873,2.101856297160547
0.39200000000000007,1.5010862414604538,0.8368024554085978,2.081059088368141
0.39252757016455536,1.493182634771299,0.8246606831460958,2.075019402100107
0.39300000000000007,1.485994122742297,0.8128284230875665,2.069545312546561
0.3940000000000001,1.469044745866979,0.7911928623517254,2.0562692333807795
0.3950000000000001,1.454079868705941,0.7690505921631408,2.0445198294544182
0.3960000000000001,1.4393140892660676,0.751547048278439,2.0306123179068383
0.3970000000000001,1.4249324621373394,0.7295773190980502,2.019015094892717
0.3980000000000001,1.4118152215194366,0.7070602475370581,2.0071525100333845
0.3990000000000001,1.3979151296884929,0.6848477115178968,1.99415040346231
0.4000000000000001,1.3826029272621383,0.6652794258838821,1.9819147579139
0.4010000000000001,1.3675882969852353,0.6464823787277874,1.9717011004942158
0.4020000000000001,1.3564306372206032,0.6231200804286722,1.9583901371683332
0.4030000000000001,1.3439996046208285,0.6091798948646153,1.9450149025506511
0.4040000000000001,1.3344814704088412,0.5943874638672646,1.9317629178925868
0.4050000000000001,1.3227208325187234,0.5793689354584848,1.9230536442714916
0.40536323829516313,1.3181435847404444,0.5754810960510466,1.9187583950101228
0.4060000000000001,1.315683494313125,0.5705149778050961,1.911281668372502
