Mass,dlogLumdM,dlogLumdM_lb,dlogLumdM_ub
0.07,0.016540499552539268,0.01483185862279153,0.018620842585260457
0.07100000000000001,0.016473670819850694,0.014804176153088688,0.018505314040358233
0.07200000000000001,0.0163979887748017,0.014767930537863766,0.018390268088101253
0.07300000000000001,0.016328535511802123,0.014735784405632918,0.01827522282600535
0.07400000000000001,0.016252783127621646,0.014697059962378571,0.018150949043112655
0.07500000000000001,0.016179052380216722,0.014660555220567535,0.018026377462769964
0.07600000000000001,0.016097121977631745,0.014614917281345128,0.017905239369541304
0.07700000000000001,0.01601664909993282,0.0145691043344424,0.01777835636359131
0.07800000000000001,0.015931099185723503,0.014523189611509156,0.017656830592465002
0.07900000000000001,0.015848572996274464,0.014470005219754108,0.017520974662383962
0.08000000000000002,0.015761696452988597,0.01441605108998623,0.01739100838264347
0.08100000000000002,0.015675372392548403,0.014357470838256267,0.017260106476753675
0.08200000000000002,0.015587368271727013,0.014304318896914666,0.01712654834915713
0.08229766542876583,0.015558480749197502,0.014284208179200616,0.01708809990548273
0.083,0.015490133411306584,0.014240920074123612,0.01698774341252166
0.084,0.015401148318247316,0.014179299714121721,0.0168584325705976
0.085,0.015301715582133477,0.014111312097024167,0.01672607928608406
0.08600000000000001,0.01519596945871741,0.014038055340837793,0.016589104027235235
0.08700000000000001,0.015100174503113663,0.013963956536185667,0.016448145371881925
0.08800000000000001,0.014991500767827586,0.013890324272540316,0.016303535243132144
0.08811479731439766,0.014978193708846937,0.013882641022466315,0.016292505663354415
0.08900000000000001,0.014887009525338451,0.01381223621109438,0.01616225419146787
0.08980164496364623,0.014797805792818641,0.013747878776044522,0.016044307256371643
0.09000000000000001,0.014775946267262242,0.013733829322577383,0.016011215831700183
0.09100000000000001,0.014665939399958451,0.013650781729599958,0.015858563099646263
0.09138426165976109,0.014623666374458217,0.013617297331259826,0.01579657220877854
0.09200000000000001,0.014557950144909078,0.01356361562475717,0.0157035904098667
0.09291457976248862,0.01444939947994417,0.01348522500168712,0.015564913122894115
0.09300000000000001,0.014436993997937578,0.013479482275916645,0.015553715655777567
0.09400000000000001,0.014318582945404855,0.013387860126012917,0.015396547265077484
0.09500000000000001,0.014197948111713104,0.013294522904179719,0.015246049191577888
0.09600000000000002,0.014077208705465095,0.013203004359059358,0.015091956665499041
0.09700000000000002,0.01395456395706032,0.013104545759559886,0.014930257769121026
0.09800000000000002,0.01383122751278904,0.013008190432399123,0.0147755032652113
0.09900000000000002,0.013702853642793634,0.012905814408929711,0.014620312706621943
0.1,0.01357607564111292,0.012801702443440447,0.014461590902143238
0.101,0.013446357337213605,0.012693349604446246,0.014302980294045569
0.10200000000000001,0.013314569503938452,0.01259027232686098,0.014137518149203809
0.10300000000000001,0.013177607003183914,0.012482263092619392,0.013976395471376211
0.10400000000000001,0.013042520680126032,0.0123726278621098,0.013816290109847565
0.10500000000000001,0.01290798659099704,0.012257184773027419,0.013659780363614015
0.10600000000000001,0.012773480647022927,0.012145813163002615,0.013495112724599469
0.10700000000000001,0.012636365488805193,0.012029857904965293,0.013338322555466735
0.10800000000000001,0.012498024218783734,0.011909332888071805,0.013175989941629027
0.10900000000000001,0.012355425454758616,0.0117864488473952,0.013018937951241595
0.11000000000000001,0.012216607949585194,0.011661208891037566,0.01285482417331818
0.11007472155582318,0.012203966338131719,0.011651047228215918,0.012845317540350967
0.11100000000000002,0.012072225000064765,0.011536261550394278,0.012695628269225724
0.11200000000000002,0.011933343289517851,0.01140994289060291,0.012537667343435544
0.11300000000000002,0.011792886021209788,0.011286095126040091,0.01237661665760288
0.11400000000000002,0.011653686076160111,0.011157619137711579,0.012221381758825117
0.11500000000000002,0.011514169128797642,0.011030173543634924,0.012064359330358987
0.11600000000000002,0.011373643930826197,0.010900767535942565,0.011909534994709961
0.11700000000000002,0.011233206400149987,0.010767104148437366,0.0117546449877044
0.11800000000000002,0.011089306504808459,0.010635431020687034,0.011598378531138794
0.11900000000000002,0.01094972006928513,0.01050009598598672,0.011445783815885235
0.12000000000000002,0.010810289200412526,0.010367044030858249,0.011293206454846163
0.12100000000000002,0.010666384411802924,0.01023306775902211,0.011143103856682511
0.12200000000000003,0.01053007045096909,0.010097838759502384,0.010992119300477388
0.12290698460103891,0.010400540499707516,0.009971635298705275,0.010855919490837787
0.12300000000000003,0.010389066857037603,0.009958932690546027,0.010843403303238406
0.12400000000000003,0.010251149887224148,0.00982095048200645,0.010695312784090643
0.12500000000000003,0.01011354769668513,0.009681950969259024,0.010549007261040404
0.1251806565391655,0.010088006487617518,0.009656269902369698,0.01052285293846115
0.12600000000000003,0.009974721629843683,0.009542163961662258,0.010403478165737794
0.12700000000000003,0.009839464093286975,0.00940246830111987,0.010263387825541303
0.12800000000000003,0.0097055584337873,0.009266118295552343,0.010124156557949687
0.129,0.00957199151843869,0.009129696367787616,0.009987008412733547
0.13,0.009437560150453089,0.008987876823360202,0.009850789287133411
0.131,0.009302388892159107,0.008848934707512326,0.0097154456372251
0.132,0.009167073387760903,0.008710187383163173,0.009579965738879042
0.133,0.009034007236619155,0.008572786827418803,0.00945140488392522
0.134,0.008902226583835252,0.008440468091692167,0.009323830925487435
0.135,0.008773333652994382,0.008303756706210778,0.009196184821902178
0.136,0.008641953130197208,0.008168847204110138,0.009069918778252058
0.137,0.008515545789693258,0.008036830725989154,0.008950435581346016
0.138,0.008386052351093487,0.007900503545208803,0.00882435412688389
0.139,0.008261245650987148,0.007773611690911263,0.008703489805369911
0.14,0.008136867488782663,0.0076427756725790975,0.00858255919379365
