Mass,Teff,Teff_lb,Teff_ub
0.07,2323.791891897632,2247.4100845052144,2393.497587059323
0.07100000000000001,2336.220485449699,2262.7629284203854,2404.432151224259
0.07200000000000001,2348.9618724025217,2277.8362230478224,2415.1534488692205
0.07300000000000001,2361.5576411843667,2292.83259333103,2426.2684857548147
0.07400000000000001,2374.278763838834,2307.701222883125,2437.119231082755
0.07500000000000001,2386.6616706554996,2322.52167059414,2447.798223373543
0.07600000000000001,2399.458918631921,2337.0200467295676,2458.6238096284883
0.07700000000000001,2411.624257482991,2351.221083349195,2469.6555184521594
0.07800000000000001,2424.411730149112,2365.9497207692557,2480.2632026502915
0.07900000000000001,2436.643945883827,2380.3026712046185,2490.712868616317
0.08000000000000002,2449.1141742097834,2394.1420545757687,2501.852195191479
0.08100000000000002,2461.167202181828,2408.150313371555,2512.2793936872513
0.08200000000000002,2473.7965347015106,2422.4223898579903,2523.2775825363055
0.08229766542876583,2477.210386000778,2426.139763571914,2526.5009261454766
0.083,2486.2454852042865,2435.8801203275584,2534.1811766297105
0.084,2498.2069446376436,2449.320394080573,2544.9725101277268
0.085,2510.2877627807175,2463.153026286075,2556.0744752798555
0.08600000000000001,2522.1261450787592,2476.446190722486,2566.3309441655324
0.08700000000000001,2534.219095018048,2489.27536212626,2577.4414906353536
0.08800000000000001,2546.0972739538415,2502.514732301717,2587.7756532912995
0.08811479731439766,2547.4056114908494,2503.985220546963,2588.700511701153
0.08900000000000001,2557.9573299536173,2515.6134244058235,2598.566161029931
0.08980164496364623,2567.255586609857,2525.9768288072883,2607.2132363361197
0.09000000000000001,2569.8887707099725,2528.3674569523178,2608.9328369526024
0.09100000000000001,2581.3341806356875,2541.3884552844675,2619.870160082243
0.09138426165976109,2585.8762860436404,2546.1407313487257,2623.8654212827973
0.09200000000000001,2592.932979177496,2553.7658830250084,2630.6938001220674
0.09291457976248862,2603.3426041020866,2565.17244416922,2640.2763444497086
0.09300000000000001,2604.349995030297,2565.7926112690593,2641.4073038981282
0.09400000000000001,2615.6797233992243,2578.441353130515,2652.0479249652367
0.09500000000000001,2627.143770658904,2590.589879431821,2662.5861046990417
0.09600000000000002,2638.756740042449,2602.541635084505,2673.2425732538063
0.09700000000000002,2649.845468003017,2614.181609696393,2683.9809717853886
0.09800000000000002,2660.8211463154603,2626.2702160701356,2694.601878317736
0.09900000000000002,2671.8240030028383,2637.7454674946493,2705.1481441166666
0.1,2682.7799972945118,2649.228470487635,2715.78439482699
0.101,2693.626870094434,2660.666908441548,2726.493428972605
0.10200000000000001,2704.4821271307064,2672.260685297189,2736.7485080260176
0.10300000000000001,2715.1459059110116,2682.954742710664,2747.2408160593964
0.10400000000000001,2725.8536284371894,2693.8391031418932,2757.54991635009
0.10500000000000001,2736.29811590636,2704.705436408456,2767.86471791755
0.10600000000000001,2746.7867870778127,2715.4707051087025,2778.3306185953456
0.10700000000000001,2757.176349056716,2725.699549584076,2788.6088893520437
0.10800000000000001,2767.433569550572,2736.298155169673,2798.676139961164
0.10900000000000001,2777.564237472875,2746.6458371692434,2808.933851699839
0.11000000000000001,2787.461850216267,2756.21581002668,2818.849582112148
0.11007472155582318,2788.2300040231858,2757.232996435561,2819.509135276446
0.11100000000000002,2797.5007499139156,2766.419380372931,2828.9371525753163
0.11200000000000002,2807.2736749323008,2776.431677851299,2838.4083714806334
0.11300000000000002,2817.024266980699,2786.2250238324364,2848.4871623590107
0.11400000000000002,2826.7480568939595,2795.7447473827847,2857.9966196353685
0.11500000000000002,2836.020042750774,2804.938615325326,2867.703401059219
0.11600000000000002,2845.24154322066,2814.4524494898324,2877.5258421358867
0.11700000000000002,2855.095068432625,2823.415072587438,2887.029680104524
0.11800000000000002,2864.0999348140917,2832.6989706732106,2896.2585132850795
0.11900000000000002,2873.127575282059,2841.6577224821685,2905.3464194297235
0.12000000000000002,2882.1140933009797,2850.4156283533266,2914.560836739073
0.12100000000000002,2891.0786505683855,2858.9307925384564,2923.787913597347
0.12200000000000003,2900.0162991090215,2867.9700244776895,2932.671303061734
0.12290698460103891,2908.0955383728997,2875.8533405763023,2940.5948835023855
0.12300000000000003,2908.8894733065213,2876.6031527746013,2941.340302763915
0.12400000000000003,2917.507348338233,2885.180029614934,2950.1436357916245
0.12500000000000003,2925.8503805594114,2893.2358133687735,2958.515088864826
0.1251806565391655,2927.4328253675926,2895.055753128945,2960.0209440587946
0.12600000000000003,2934.4369602062384,2901.584961609904,2967.2672116232543
0.12700000000000003,2942.572130178353,2909.7836287325313,2975.4367733836248
0.12800000000000003,2951.124221303267,2917.943804345218,2984.0969576661437
0.129,2958.7285670974816,2925.94248375434,2992.2091357667387
0.13,2967.014582286488,2933.9415881714153,3000.0798296666144
0.131,2974.8502149651745,2941.7263602200665,3008.3105516636083
0.132,2982.6138695619807,2949.2228900993928,3016.0775408173567
0.133,2990.320781415639,2957.041846909372,3023.7179138828747
0.134,2997.584207065819,2964.368848080485,3031.666600021861
0.135,3004.949263775724,2971.840581995948,3038.6992291457414
0.136,3012.359477486614,2979.1555827575908,3046.254893335926
0.137,3019.400760576561,2986.016300094298,3053.494965076467
0.138,3026.656635869944,2993.142899397001,3060.269443140279
0.139,3033.488388117778,3000.1944759715957,3067.250403683607
0.14,3040.365039492931,3007.0905860071707,3074.357627728671
0.14100000000000001,3046.9934208807026,3013.9145428460256,3080.7184949500324
0.14200000000000002,3053.67006473205,3020.5329150260245,3087.354854605906
0.14300000000000002,3060.376772659885,3027.07051524705,3094.2187254898995
