Mass,LogL,LogL_lb,LogL_ub
0.11100000000000002,-2.962884780393037,-2.9796011129708693,-2.9457896022494543
0.11200000000000002,-2.9503071031045556,-2.9671016984137064,-2.932987007750718
0.11300000000000002,-2.9378146724876633,-2.954785126028651,-2.9203254309564524
0.11400000000000002,-2.9254234347308357,-2.9425895549626833,-2.907891428128918
0.11500000000000002,-2.9133433478910717,-2.930545192202861,-2.8956950263942436
0.11600000000000002,-2.901421043295861,-2.9184868352138706,-2.8836012144750955
0.11700000000000002,-2.8895699188579766,-2.906734305859608,-2.87148834864502
0.11800000000000002,-2.8778340206385353,-2.895189151026551,-2.859715897067442
0.11900000000000002,-2.8662831100564183,-2.8836059076762646,-2.8480166644682168
0.12000000000000002,-2.854820123698416,-2.87220899827733,-2.8367271966362426
0.12100000000000002,-2.8436606863738074,-2.861027187726486,-2.8253203163274434
0.12200000000000003,-2.8324970815466814,-2.8499737939748098,-2.8142051335354084
0.12290698460103891,-2.822549091093501,-2.83995325534107,-2.8042259570264174
0.12300000000000003,-2.821557457927612,-2.838910996052163,-2.8032015086468234
0.12400000000000003,-2.8106078526118785,-2.8280266274969503,-2.79236078295388
0.12500000000000003,-2.80003520731443,-2.817408596446673,-2.781689667839478
0.1251806565391655,-2.7981094252025818,-2.815448094628676,-2.779829009385788
0.12600000000000003,-2.789429505648058,-2.806852186281354,-2.7711452090619146
0.12700000000000003,-2.7790645713933335,-2.796365991066129,-2.7608909998437015
0.12800000000000003,-2.768812783000043,-2.78613934859952,-2.750815899958477
0.129,-2.7586981803430417,-2.7758946003740603,-2.740780867979037
0.13,-2.7488236247844373,-2.766005633300776,-2.7310991920752605
0.131,-2.7389352639196414,-2.7560124271869175,-2.721291367164216
0.132,-2.729233908379039,-2.746162238446397,-2.71172315439324
0.133,-2.719741571260298,-2.7365524065393863,-2.702391126783633
0.134,-2.7104026659161145,-2.7270598499152685,-2.6931744468251417
0.135,-2.700965120303893,-2.7177519291455416,-2.684229864656593
0.136,-2.6918718232154433,-2.7086393629561565,-2.6751963107457013
0.137,-2.682907035130614,-2.6994252603459508,-2.6664482067741555
0.138,-2.6741160790882645,-2.6903810459976443,-2.6578034184961066
0.139,-2.665333419691075,-2.6814982353338523,-2.649181038431005
0.14,-2.6568411484541166,-2.67279684568058,-2.640833568514737
0.14100000000000001,-2.6484200806253586,-2.6640953063195734,-2.632626406655639
0.14200000000000002,-2.640132413296751,-2.6555821708297978,-2.6245857313987075
0.14300000000000002,-2.631912185501862,-2.647172652968354,-2.6165706482793523
0.14400000000000002,-2.6237537552459913,-2.638910296577492,-2.6087367440710403
0.14500000000000002,-2.6159235831138616,-2.6307114544851538,-2.6010037100190257
0.14505466870481754,-2.615451118185428,-2.630337587321382,-2.600627315688027
0.14600000000000002,-2.6079490062251383,-2.622613084569962,-2.5935326156608487
0.14700000000000002,-2.6002816090674585,-2.6147594663408342,-2.5860349519299497
0.14800000000000002,-2.5927570433629405,-2.606921447114381,-2.5787365850207893
0.14900000000000002,-2.5852359434696535,-2.5992632772035518,-2.5714377006525178
0.15000000000000002,-2.5778831081733484,-2.5915863630086076,-2.5644423068326265
0.15100000000000002,-2.5706202503786355,-2.5841445233716698,-2.5574269139779733
0.15200000000000002,-2.5634773716896855,-2.5767453559909437,-2.5505104103489686
0.15300000000000002,-2.556435429297741,-2.5695664567545173,-2.5436834667778014
0.15400000000000003,-2.549531153245843,-2.562369447119913,-2.5370515054654947
0.15500000000000003,-2.542739491341914,-2.5554099521209244,-2.530397380018698
0.15600000000000003,-2.5360000905974687,-2.5483770083722543,-2.523900739570448
0.15700000000000003,-2.5293708272919537,-2.5415687647573244,-2.51754697531453
0.15731213362868723,-2.52733018844122,-2.5393651395231958,-2.51551227919594
0.15800000000000003,-2.522863340713977,-2.5347730422054893,-2.5111977197699042
0.15900000000000003,-2.516351578738668,-2.5281140520538,-2.5049369186340216
0.16000000000000003,-2.5101102878536534,-2.521576999666632,-2.498692315856079
0.16100000000000003,-2.5038744636871906,-2.515117196864629,-2.492590042878615
0.16103665083914465,-2.5035482794407438,-2.5149514806553004,-2.4923738616422653
0.16200000000000003,-2.497623342015793,-2.5088063297047416,-2.486611155686393
0.16300000000000003,-2.4915352144207894,-2.5025558383067255,-2.480609984188671
0.16400000000000003,-2.485470302902243,-2.496301081132212,-2.474700961955092
0.16500000000000004,-2.4795115366691065,-2.490331699234712,-2.46885962655308
0.16600000000000004,-2.473667152183757,-2.4843527714633034,-2.4630705030868403
0.16700000000000004,-2.4678392454022156,-2.4784439095371766,-2.4574151395167845
0.16800000000000004,-2.4621225736074708,-2.4726669113311814,-2.451647397444343
0.16900000000000004,-2.4565010227793693,-2.466973067293149,-2.4460571097048156
0.17000000000000004,-2.450905399659997,-2.4613703112292353,-2.440469798468331
0.17100000000000004,-2.445305530941784,-2.4558712571080767,-2.4349191133155004
0.17200000000000004,-2.4398918512497447,-2.4503606012473984,-2.4293339312407536
0.17300000000000004,-2.4344994035047423,-2.445026013842778,-2.4239795448055803
0.17400000000000004,-2.429116201935405,-2.4396958649437335,-2.4185759861547953
0.17500000000000004,-2.4238084478531534,-2.4344525414549993,-2.413142166809089
0.17600000000000005,-2.4185648191109794,-2.429237220120219,-2.407708450471213
0.17609128923313835,-2.4181043526870756,-2.4288520760449717,-2.4073339990756577
0.17700000000000005,-2.413331554444177,-2.424115664875075,-2.402496084041363
0.17734875983495368,-2.4115352871306124,-2.42226835847736,-2.400683876256339
0.17800000000000005,-2.4081260657868655,-2.4190769200270097,-2.3971829768867465
0.17900000000000005,-2.402971186157182,-2.414111749372883,-2.391973628050955
0.18000000000000005,-2.3978738857725252,-2.409075846575544,-2.3868251573066255
0.18100000000000005,-2.392744744930335,-2.4041649954415076,-2.3816358117229472
0.18149697679567303,-2.390303157529196,-2.4017448383046736,-2.379080564663871
0.18200000000000005,-2.3877754571254286,-2.399354505152771,-2.3765304834238044
0.18260064118189623,-2.3848483085799774,-2.3963634926631316,-2.373444184387053
0.18300000000000005,-2.3828100528341425,-2.3944725127708835,-2.3714597867333214
0.18400000000000005,-2.377880622691573,-2.3897065711092567,-2.3663973130624187
0.18500000000000005,-2.372934343729203,-2.385007152330055,-2.361348443028718
0.18600000000000005,-2.368122086198325,-2.3802723065227243,-2.356379732505748
0.18700000000000006,-2.363261491469749,-2.3755019593827145,-2.35151404167128
0.18800000000000003,-2.3584665614165714,-2.370875730609761,-2.346624636769408
0.18900000000000003,-2.35361492807838,-2.3662240426184766,-2.341700262519749
0.19000000000000003,-2.3489271791705395,-2.361562503820263,-2.3368680172995417
0.19100000000000003,-2.3442826722543932,-2.3569151115307254,-2.3320354431225248
0.19200000000000003,-2.3396038853816368,-2.3523372552890125,-2.3272669275275177
0.19300000000000003,-2.3348851109937723,-2.347814421684855,-2.322620830750249
0.19394416339916454,-2.3305294488732247,-2.343476938359394,-2.3182192933012025
0.19400000000000003,-2.3302926693347534,-2.3431321914800542,-2.3178803264491012
0.19500000000000003,-2.3256840784588384,-2.3387277964885773,-2.313213516895089
0.19600000000000004,-2.321082226679085,-2.33417616733629,-2.308674600261958
0.19700000000000004,-2.3166607587383607,-2.3296875144695175,-2.3041695290910975
0.19800000000000004,-2.3121237352027944,-2.3252084413264824,-2.299595969908711
0.19900000000000004,-2.30763679338311,-2.320784330804771,-2.295058094022316
0.20000000000000004,-2.3032130465170075,-2.316510586249562,-2.2906452847727223
0.20100000000000004,-2.2987787235077164,-2.3120443405274473,-2.2862691333471914
0.20200000000000004,-2.2944196216273633,-2.3077610378919493,-2.2818111584499965
0.20300000000000004,-2.2900535432074114,-2.3033002222724597,-2.2773793525871464
0.20400000000000004,-2.285746396242245,-2.298992003366248,-2.2732014241168637
0.20500000000000004,-2.281442763733862,-2.2946502849808583,-2.268887201639467
0.20600000000000004,-2.2772002030214846,-2.29037060228722,-2.264631944773741
0.20700000000000005,-2.2728454894161176,-2.2859673875411586,-2.2603731913810874
0.20800000000000005,-2.2686011673872883,-2.281794776340154,-2.2562500280535494
0.20900000000000005,-2.2644769585986797,-2.277527358128097,-2.252202716352098
0.21000000000000005,-2.2602816079507333,-2.2731750286793257,-2.248073246875382
0.21100000000000005,-2.256141098758022,-2.269069750027522,-2.2439670174988042
0.21200000000000005,-2.2520447748495265,-2.2649005026176554,-2.2399289874704844
0.21300000000000005,-2.247939310595558,-2.2607125024363293,-2.235943414702805
0.21400000000000005,-2.2439573688012846,-2.256468222312121,-2.232068198402063
0.21500000000000005,-2.239997799881238,-2.252387035060128,-2.2281923711627405
0.21600000000000005,-2.236023626778135,-2.248436243234375,-2.224162665845881
0.21700000000000005,-2.2320870972205302,-2.244283058772313,-2.2203358774066317
0.21800000000000005,-2.2281700333202408,-2.2402513278573473,-2.2165748944167745
0.21821012277366883,-2.2273568190770403,-2.2394386887194604,-2.2157913559313744
0.21900000000000006,-2.224334824504229,-2.2362649042928795,-2.212826837950775
0.22000000000000003,-2.2204548520931557,-2.2322941897775967,-2.2090407791496665
0.22100000000000003,-2.216657280799293,-2.2282508988859684,-2.205440300732581
0.22200000000000003,-2.2128442654742386,-2.224350183750201,-2.2017150489465935
0.22300000000000003,-2.209145288877175,-2.2205139006177426,-2.198067082211729
0.22400000000000003,-2.205403918799826,-2.2166521195570033,-2.1944971356173673
0.22500000000000003,-2.2017157363781195,-2.212829421356287,-2.190937713977586
0.22600000000000003,-2.198111355823518,-2.209049032066627,-2.1873745235056568
0.22700000000000004,-2.1944826463671356,-2.205256949733064,-2.183839290315724
0.22800000000000004,-2.1908704961919803,-2.2015592285698196,-2.180349305183926
0.22900000000000004,-2.1872979049763686,-2.197828226882561,-2.1768013566737228
0.23000000000000004,-2.183752521462541,-2.1941454693374696,-2.1734290597620953
0.23100000000000004,-2.18022053066293,-2.1905693468886227,-2.1699991346607472
0.2315577696814219,-2.178299150552611,-2.1885481856182696,-2.16813346557512
0.23200000000000004,-2.17673268298475,-2.1869990010593408,-2.1665773539707085
0.23300000000000004,-2.1732248385207615,-2.183406012594189,-2.1632281309873527
0.23400000000000004,-2.169787987156737,-2.179879230444241,-2.1599509727244923
0.23500000000000004,-2.1664068116590744,-2.176332118779388,-2.1566006390001826
0.23529072343218344,-2.1654079569012237,-2.175275327838997,-2.155592006623638
0.23600000000000004,-2.1630164982269635,-2.1728219858272158,-2.1531968482705333
0.23700000000000004,-2.159658709860895,-2.1694460740419577,-2.1499605067307086
0.23721027294373204,-2.1589740159341053,-2.1686587589023123,-2.1493111256744477
0.23800000000000004,-2.156250796279854,-2.166030508466931,-2.1466426039128508
0.23900000000000005,-2.152936526099632,-2.1626511060848945,-2.1434014929554857
0.24000000000000005,-2.149717991237246,-2.1593045484912436,-2.1402384938075247
0.24021939504308476,-2.148991900949235,-2.1585722650002133,-2.139465303806678
0.24100000000000005,-2.146433529496954,-2.155914205810641,-2.136960281868976
0.24200000000000005,-2.1431447361187255,-2.1525406871516486,-2.1338128800619587
0.24300000000000005,-2.1399309936510473,-2.149285587516562,-2.13057352397778
0.24400000000000005,-2.1367320796450135,-2.1459620773137367,-2.1274344233284848
0.24500000000000005,-2.1335073129112256,-2.1427630101275366,-2.124223424965082
0.24600000000000005,-2.130394508201281,-2.13952795836438,-2.1211518827911293
0.24700000000000005,-2.1271226313170173,-2.1362899104490443,-2.1180823495939523
0.24800000000000005,-2.123992714528055,-2.133124836501558,-2.1149417940703312
0.24900000000000005,-2.120901210413529,-2.1299757145412497,-2.111958021615901
0.25000000000000006,-2.117740408909257,-2.12682009802955,-2.1088461895690997
0.25100000000000006,-2.114580725893121,-2.123767440778867,-2.105777436039302
0.25200000000000006,-2.111531461489637,-2.1206072324691605,-2.1028263338029296
0.2529016479389201,-2.108718917234812,-2.117793394602176,-2.100030289402208
0.25300000000000006,-2.1083817213522806,-2.1174603232945186,-2.0997765546188893
0.25400000000000006,-2.1053815559105766,-2.114365708640664,-2.0967959109626713
0.25500000000000006,-2.102348547103354,-2.1112885468758025,-2.0937669956549207
0.25600000000000006,-2.099309840005601,-2.10823799515176,-2.090808699549563
0.25700000000000006,-2.096355683257098,-2.1051492136172962,-2.0878148527046823
0.25800000000000006,-2.0933325633832975,-2.1021896816213377,-2.084905091186267
0.25900000000000006,-2.0903693605348437,-2.099101778259275,-2.0819680963879503
0.26000000000000006,-2.087405294375401,-2.0961574380648824,-2.0790011181120436
0.26100000000000007,-2.084454604784712,-2.0932207245973453,-2.076136921782848
0.26200000000000007,-2.081543266258172,-2.09025972976416,-2.0731527577887934
0.26259866929352804,-2.0798337408048844,-2.0885026741241157,-2.0714172851639243
0.263,-2.0786246209400807,-2.0872766751292433,-2.0702931626001573
0.264,-2.0757220818650364,-2.0843702630458396,-2.0674354617386226
0.26452825918377354,-2.074180757478774,-2.082808379784216,-2.0658534073895907
0.265,-2.072825326163712,-2.08139872618842,-2.0645417656983254
0.266,-2.0699650965548635,-2.078462633906775,-2.061606179741704
0.267,-2.0670395659695844,-2.075621064185281,-2.0587299433763824
0.268,-2.0642033287583947,-2.0726211181828713,-2.055785408556095
0.26818548647790896,-2.0636489961401376,-2.072127176691384,-2.0552356652983677
0.269,-2.0613112855120272,-2.0697749233823006,-2.0527935398107715
0.27,-2.058432290061716,-2.0669318447559157,-2.04992836751226
0.271,-2.055513421998616,-2.064025718851644,-2.0470926469597344
0.27136983668260917,-2.05445381760022,-2.0629426956972923,-2.0459481042656558
0.272,-2.0526401396686627,-2.0610988546690563,-2.044173776114931
0.273,-2.049834476264931,-2.058233264289685,-2.0412939210808236
0.274,-2.0469492006531533,-2.055355660926091,-2.0383806997492373
0.27423300427535136,-2.046313686051965,-2.0547047167870054,-2.0377005057181004
0.275,-2.0440402522600682,-2.0525317103834535,-2.035485176554089
0.276,-2.0412205564524926,-2.0496043358580103,-2.032592998375585
0.277,-2.038276618339321,-2.0467141788992307,-2.029726835114042
0.278,-2.0354171639130705,-2.0439213917121495,-2.026817711624842
