Teff,LogL,LogL_lb,LogL_ub
2630.0,-3.1986318421684956,-3.246312941645277,-3.1511011059938125
2635.0,-3.193252237606565,-3.2410260390532213,-3.145788765157194
2640.0,-3.187923060731715,-3.235495584668259,-3.140332283429121
2640.2397321854924,-3.187778275423007,-3.2351132625853714,-3.140270593688428
2645.0,-3.182435469212299,-3.230047845817425,-3.1353000539078106
2650.0,-3.177138941942851,-3.224408007446511,-3.1297745365687155
2655.0,-3.171504267207714,-3.218788488732289,-3.1244104640816777
2660.0,-3.1659692496626772,-3.2132325472635888,-3.118929608070066
2665.0,-3.1603800665327206,-3.2074774417301466,-3.1133772676890166
2670.0,-3.1544340172116594,-3.2016554806033253,-3.1078838857171647
2675.0,-3.148974852899435,-3.1961781771425217,-3.101958717872537
2680.0,-3.1431510416524358,-3.1902582345960595,-3.096088303132451
2685.0,-3.1374284092264753,-3.18460499405595,-3.0903538324079753
2690.0,-3.1316067888488495,-3.1789396321712124,-3.0842812994294726
2695.0,-3.125795086067904,-3.1733410723335274,-3.0783426687518545
2700.0,-3.1199360727321386,-3.1675329861329544,-3.072448522998273
2705.0,-3.113773780139546,-3.1613071220495796,-3.06665972077321
2710.0,-3.107844445958455,-3.1553469914147327,-3.060582519492464
2715.0,-3.101896132017809,-3.149250438639246,-3.054258478571442
2720.0,-3.095829393114755,-3.1433406548935063,-3.048228183513621
2725.0,-3.089669519266149,-3.137513649084374,-3.0418981893517336
2730.0,-3.0837867692776326,-3.1314151699138835,-3.0354136010972885
2735.0,-3.0773169738561883,-3.1253278137866674,-3.029253358897071
2740.0,-3.070878414953871,-3.119169787086335,-3.0231199313741905
2745.0,-3.0645375970984925,-3.1128798784628273,-3.0166188724818745
2749.1289370858976,-3.0592614367184705,-3.1076951690723993,-3.011256914196436
2750.0,-3.058135909221291,-3.106647713351888,-3.0102097672151933
2755.0,-3.0516185859214437,-3.1001463131415385,-3.003673376992314
2760.0,-3.044921299459678,-3.093692693886535,-2.997207767717985
2765.0,-3.0385040528331935,-3.0872215724317997,-2.9906049178522536
2770.0,-3.032026001626164,-3.0807007041893466,-2.9840270228865866
2775.0,-3.025153888725561,-3.0743815363582274,-2.9775937217649586
2780.0,-3.0185486830704216,-3.06763953749057,-2.9707694697694857
2785.0,-3.0117691708974474,-3.0608495375089855,-2.9639683000573025
2790.0,-3.0049539598985433,-3.05366698216383,-2.957009263217518
2795.0,-2.997962010919993,-3.046989207230006,-2.9505217551993854
2800.0,-2.991176847327389,-3.040092386169877,-2.943532851473874
2805.0,-2.984198996489728,-3.0332096636067893,-2.9368706018108193
2810.0,-2.977031710784849,-3.026406888689804,-2.9299879060342033
2815.0,-2.9699074185648437,-3.019270817619948,-2.9227260892249562
2820.0,-2.962801817064057,-3.0121762910811154,-2.9157038905161987
2825.0,-2.9556153995531824,-3.0052117983480335,-2.908491043788515
2830.0,-2.9484648114963274,-2.9979431254069664,-2.901341499045134
2835.0,-2.941212620364862,-2.9904896049696066,-2.89407293662477
2840.0,-2.9338312201807706,-2.983021365284597,-2.886731766649034
2845.0,-2.92626349264499,-2.9753924356330312,-2.879351687641673
